source_file,seed,cycle_id,target_ue_id,target_mode,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,reward,next_cycle_id,next_current_bs_id,next_app_type,next_tp_mbps,next_rtt_ms,next_satisfaction,next_num_users_on_current_bs,next_harmonic_mean,next_num_unsatisfied_users,next_target_ue_flag,acted_ue_bs_after,acted_ue_tp_after,acted_ue_rtt_after,acted_ue_satisfaction_after,done,measurement_valid,next_measurement_valid
master_log_80_random_20260719_103909.csv,12,3,72,top_k_low,2,2,0.461217,56.666700,0.057652,27,0.219985,54,0,2,-0.019917,4,2,2,0.415324,56.666700,0.051915,28,0.200068,56,0,2,0.415324,56.666700,0.051915,0,1,1
master_log_80_random_20260719_103909.csv,12,3,8,top_k_low,2,2,0.461229,56.666700,0.057654,27,0.219985,54,0,2,-0.019917,4,2,2,0.404382,56.666700,0.050548,28,0.200068,56,1,2,0.404382,56.666700,0.050548,0,1,1
master_log_80_random_20260719_103909.csv,12,3,28,top_k_low,2,2,0.461229,56.666700,0.057654,27,0.219985,54,0,0,-0.019917,4,0,2,5.091705,100.000000,0.636463,29,0.200068,56,0,0,5.091705,100.000000,0.636463,0,1,1
master_log_80_random_20260719_103909.csv,12,3,61,top_k_low,2,2,0.462274,56.666700,0.057784,27,0.219985,54,0,2,-0.019917,4,2,2,0.413126,56.666700,0.051641,28,0.200068,56,0,2,0.413126,56.666700,0.051641,0,1,1
master_log_80_random_20260719_103909.csv,12,4,8,top_k_low,2,2,0.404382,56.666700,0.050548,28,0.200068,56,1,1,-0.012883,5,1,2,2.776874,80.166700,0.347109,27,0.187185,55,0,1,2.776874,80.166700,0.347109,1,1,1
master_log_80_random_20260719_103909.csv,12,4,21,top_k_low,2,2,0.413061,56.666700,0.051633,28,0.200068,56,0,2,-0.012883,5,2,2,0.347558,55.666700,0.043445,28,0.187185,55,0,2,0.347558,55.666700,0.043445,1,1,1
master_log_80_random_20260719_103909.csv,12,4,2,top_k_low,2,2,0.413125,56.666700,0.051641,28,0.200068,56,0,2,-0.012883,5,2,2,0.347558,55.666700,0.043445,28,0.187185,55,0,2,0.347558,55.666700,0.043445,1,1,1
master_log_80_random_20260719_103909.csv,12,4,61,top_k_low,2,2,0.413126,56.666700,0.051641,28,0.200068,56,0,1,-0.012883,5,1,2,2.780319,80.166700,0.347540,27,0.187185,55,0,1,2.780319,80.166700,0.347540,1,1,1
master_log_80_random_20260719_103909.csv,12,4,79,top_k_low,2,2,0.414172,56.666700,0.051772,28,0.200068,56,0,0,-0.012883,5,0,2,4.033888,100.000000,0.504236,25,0.187185,55,0,0,4.033888,100.000000,0.504236,1,1,1
master_log_80_random_20260719_103909.csv,12,4,52,top_k_low,2,2,0.414184,56.666700,0.051773,28,0.200068,56,0,0,-0.012883,5,0,2,4.032789,100.000000,0.504099,25,0.187185,55,0,0,4.032789,100.000000,0.504099,1,1,1
master_log_80_random_20260719_103909.csv,12,4,63,top_k_low,2,2,0.414184,56.666700,0.051773,28,0.200068,56,0,2,-0.012883,5,2,2,0.347536,55.666700,0.043442,28,0.187185,55,0,2,0.347536,55.666700,0.043442,1,1,1
master_log_80_random_20260719_103909.csv,12,4,74,top_k_low,2,2,0.414184,56.666700,0.051773,28,0.200068,56,0,2,-0.012883,5,2,2,0.347523,55.666700,0.043440,28,0.187185,55,0,2,0.347523,55.666700,0.043440,1,1,1
