episode_id,source_file,seed,cycle_id,target_ue_id,target_mode,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,satisfaction_class,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,reward,next_cycle_id,next_current_bs_id,next_app_type,next_tp_mbps,next_rtt_ms,next_satisfaction,next_satisfaction_class,next_num_users_on_current_bs,next_harmonic_mean,next_num_unsatisfied_users,next_target_ue_flag,acted_ue_bs_after,acted_ue_tp_after,acted_ue_rtt_after,acted_ue_satisfaction_after,done,measurement_valid,next_measurement_valid
terms10_methodrandom_seed9,master_log_10_random_20260611_235159.csv,9,1,7,flag_only,2,3,0.035200,17.000000,5.882353,high_satisfaction,1,1.238076,0,1,1,1,0.008641,2,1,3,0.035200,30.000000,3.333333,high_satisfaction,2,1.246717,0,1,1,0.035200,30.000000,3.333333,0,1,1
terms10_methodrandom_seed9,master_log_10_random_20260611_235159.csv,9,2,7,flag_only,1,3,0.035200,30.000000,3.333333,high_satisfaction,2,1.246717,0,1,0,1,-0.029213,3,0,3,0.035200,50.000000,2.000000,high_satisfaction,5,1.217504,0,0,0,0.035200,50.000000,2.000000,0,1,1
terms10_methodrandom_seed9,master_log_10_random_20260611_235159.csv,9,3,2,flag_only,2,3,0.035200,37.666700,2.654865,high_satisfaction,3,1.217504,0,1,0,1,0.108937,4,0,3,0.035200,50.000000,2.000000,high_satisfaction,4,1.326441,0,0,0,0.035200,50.000000,2.000000,0,1,1
terms10_methodrandom_seed9,master_log_10_random_20260611_235159.csv,9,4,3,flag_only,1,3,0.035200,30.000000,3.333333,high_satisfaction,3,1.326441,0,1,1,0,0.048063,5,1,3,0.035200,30.333300,3.296707,high_satisfaction,4,1.374504,0,0,1,0.035200,30.333300,3.296707,1,1,1
