seed,method,effective_method,bootstrap_cycle_flag,max_switches,action_cycle_id,measured_cycle_id,h_before,h_after_estimated,estimated_reward,h_after_measured,measured_reward,cycle_reward,switch_count,num_degraded_users
1003,centralized_dqn,logistic_bootstrap,1,80,1,2,0.339591,0.563794,0.224203,0.503218,0.163627,0.077627,51,35
1003,centralized_dqn,centralized_dqn,0,80,2,3,0.503218,0.506161,0.002943,0.328984,-0.174234,-0.248234,29,45
1003,centralized_dqn,centralized_dqn,0,80,3,4,0.328984,0.340859,0.011875,0.289489,-0.039495,-0.081495,0,42
1003,centralized_dqn,centralized_dqn,0,80,4,5,0.289489,0.267675,-0.021814,0.228881,-0.060608,-0.160608,44,56
