seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
7,multi_greedy,10,1,0,7,2,2,0,0.099181,0.337456,0.355041,0.000000,0.000000,0.000000,0.000000,0,25,29,26,94.166700,85.166700,58.333300,0.835703,0.179992,0.098885,0.017585,0.007541,0.000184,0.017585,0.337456,0.355041,0.017585,0.099181,0.835703,0.736523,10,0,10,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,1,12,2,2,0,0.099179,0.337456,0.372815,0.000000,0.000000,0.000000,0.000000,0,26,29,25,94.166700,85.166700,58.333300,0.804751,0.179992,0.102841,0.017774,0.006866,0.000000,0.017774,0.355041,0.372815,0.017774,0.099179,0.804751,0.705572,10,1,9,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,2,57,2,2,0,0.099179,0.337456,0.390795,0.000000,0.000000,0.000000,0.000000,0,27,29,24,94.166700,85.166700,58.333300,0.776010,0.179992,0.107126,0.017980,0.006176,0.000000,0.017980,0.372815,0.390795,0.017980,0.099179,0.776010,0.676831,10,2,8,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,3,75,2,2,0,0.099046,0.337456,0.408768,0.000000,0.000000,0.000000,0.000000,0,28,29,23,94.166700,85.166700,58.333300,0.749251,0.179992,0.111805,0.017973,0.005257,0.000000,0.017973,0.390795,0.408768,0.017973,0.099046,0.749251,0.650205,10,3,7,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,4,59,2,2,0,0.099042,0.337456,0.426487,0.000000,0.000000,0.000000,0.000000,0,29,29,22,94.166700,85.166700,58.333300,0.724276,0.179992,0.116888,0.017719,0.004092,0.000000,0.017719,0.408768,0.426487,0.017719,0.099042,0.724276,0.625235,10,4,6,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,5,66,2,2,0,0.099037,0.337456,0.443662,0.000000,0.000000,0.000000,0.000000,0,30,29,21,94.166700,85.166700,58.333300,0.700913,0.179992,0.122455,0.017174,0.002658,0.000000,0.017174,0.426487,0.443662,0.017174,0.099037,0.700913,0.601876,10,5,5,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,6,80,2,2,0,0.099036,0.337456,0.459965,0.000000,0.000000,0.000000,0.000000,0,31,29,20,94.166700,85.166700,58.333300,0.679009,0.179992,0.128578,0.016304,0.000947,0.000000,0.016304,0.443662,0.459965,0.016304,0.099036,0.679009,0.579973,10,6,4,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,7,23,1,1,0,0.186480,0.337456,0.475114,0.000000,0.000000,0.000000,0.000000,0,32,29,19,94.166700,85.166700,58.333300,0.658433,0.186175,0.128599,0.015149,0.000000,-0.001981,0.015149,0.459965,0.475114,0.015149,0.186480,0.658433,0.471953,10,7,3,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,8,16,2,2,0,0.097678,0.337456,0.490904,0.000000,0.000000,0.000000,0.000000,0,33,28,19,94.166700,85.166700,58.333300,0.639067,0.186199,0.135610,0.015790,-0.000104,0.000000,0.015790,0.475114,0.490904,0.015790,0.097678,0.639067,0.541389,10,8,2,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,1,9,26,1,1,0,0.186476,0.337456,0.506414,0.000000,0.000000,0.000000,0.000000,0,34,28,18,94.166700,85.166700,58.333300,0.620808,0.192825,0.135367,0.015510,0.000000,-0.001040,0.015510,0.490904,0.506414,0.015510,0.186476,0.620808,0.434332,10,9,1,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,0,22,1,1,0,0.221433,0.495100,0.506172,0.000000,0.000000,0.000000,0.000000,0,35,27,18,101.000000,79.666700,53.333300,0.466947,0.211774,0.323995,0.011072,0.000185,0.010234,0.011072,0.495100,0.506172,0.011072,0.221433,0.466947,0.245514,10,0,10,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,1,78,1,1,0,0.214747,0.495100,0.515938,0.000000,0.000000,0.000000,0.000000,0,36,26,18,101.000000,79.666700,53.333300,0.454326,0.220613,0.323995,0.009766,0.000000,0.009291,0.009766,0.506172,0.515938,0.009766,0.214747,0.454326,0.239580,10,1,9,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,2,6,1,1,0,0.213390,0.495100,0.524467,0.000000,0.000000,0.000000,0.000000,0,37,25,18,101.000000,79.666700,53.333300,0.442370,0.229584,0.323995,0.008528,0.000000,0.008446,0.008528,0.515938,0.524467,0.008528,0.213390,0.442370,0.228981,10,2,8,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,3,74,1,1,2,0.212295,0.495100,0.531953,0.000000,0.000000,0.000000,0.000000,0,38,24,18,101.000000,79.666700,53.333300,0.431028,0.239274,0.323995,0.007151,0.000000,0.007487,0.007487,0.524467,0.531953,0.007487,0.212295,0.323995,0.111700,10,3,7,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,4,15,0,0,2,0.396040,0.495100,0.538726,0.000000,0.000000,0.000000,0.000000,0,38,23,19,101.000000,79.666700,53.333300,0.396040,0.502092,0.750000,0.000000,0.001208,0.006772,0.006772,0.531953,0.538726,0.006772,0.396040,0.750000,0.353961,10,4,6,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,5,41,0,0,2,0.396040,0.495100,0.545673,0.000000,0.000000,0.000000,0.000000,0,37,23,20,101.000000,79.666700,53.333300,0.396040,0.502092,0.750000,0.000000,0.001239,0.006947,0.006947,0.538726,0.545673,0.006947,0.396040,0.750000,0.353961,10,5,5,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,6,32,0,0,2,0.396040,0.495100,0.552801,0.000000,0.000000,0.000000,0.000000,0,36,23,21,101.000000,79.666700,53.333300,0.396040,0.502092,0.750000,0.000000,0.001271,0.007129,0.007129,0.545673,0.552801,0.007129,0.396040,0.750000,0.353961,10,6,4,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,7,35,0,0,2,0.396040,0.495100,0.560118,0.000000,0.000000,0.000000,0.000000,0,35,23,22,101.000000,79.666700,53.333300,0.396040,0.502092,0.750000,0.000000,0.001304,0.007317,0.007317,0.552801,0.560118,0.007317,0.396040,0.750000,0.353961,10,7,3,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,8,62,1,1,0,0.212013,0.495100,0.567836,0.000000,0.000000,0.000000,0.000000,0,34,23,23,101.000000,79.666700,53.333300,0.480288,0.249710,0.256496,0.007717,0.000000,0.003248,0.007717,0.560118,0.567836,0.007717,0.212013,0.480288,0.268275,10,8,2,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,2,9,37,0,0,2,0.396040,0.495100,0.575806,0.000000,0.000000,0.000000,0.000000,0,35,22,23,101.000000,79.666700,53.333300,0.396040,0.502092,0.750000,0.000000,0.002324,0.007970,0.007970,0.567836,0.575806,0.007970,0.396040,0.750000,0.353961,10,9,1,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,0,43,0,0,2,0.385234,0.520862,0.569868,0.000000,0.000000,0.000000,0.000000,0,34,22,24,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.039070,0.043894,0.049007,0.049007,0.520862,0.569868,0.049007,0.385234,0.752351,0.367117,10,0,10,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,1,50,0,0,2,0.385234,0.520862,0.580164,0.000000,0.000000,0.000000,0.000000,0,33,22,25,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.000000,0.004997,0.010295,0.010295,0.569868,0.580164,0.010295,0.385234,0.752351,0.367117,10,1,9,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,2,54,0,0,2,0.385234,0.520862,0.590838,0.000000,0.000000,0.000000,0.000000,0,32,22,26,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.000000,0.005180,0.010674,0.010674,0.580164,0.590838,0.010674,0.385234,0.752351,0.367117,10,2,8,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,3,64,0,0,2,0.385234,0.520862,0.601912,0.000000,0.000000,0.000000,0.000000,0,31,22,27,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.000000,0.005373,0.011074,0.011074,0.590838,0.601912,0.011074,0.385234,0.752351,0.367117,10,3,7,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,4,69,0,0,2,0.385234,0.520862,0.613409,0.000000,0.000000,0.000000,0.000000,0,30,22,28,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.000000,0.005577,0.011497,0.011497,0.601912,0.613409,0.011497,0.385234,0.752351,0.367117,10,4,6,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,5,71,0,0,2,0.385234,0.520862,0.625354,0.000000,0.000000,0.000000,0.000000,0,29,22,29,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,0.000000,0.005793,0.011945,0.011945,0.613409,0.625354,0.011945,0.385234,0.752351,0.367117,10,5,5,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,6,3,1,1,2,0.515021,0.520862,0.631630,0.000000,0.000000,0.000000,0.000000,0,28,22,30,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,-0.005908,0.000000,0.006275,0.006275,0.625354,0.631630,0.006275,0.515021,0.752351,0.237329,10,6,4,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,7,9,1,1,2,0.515021,0.520862,0.638032,0.000000,0.000000,0.000000,0.000000,0,28,21,31,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,-0.006027,0.000000,0.006402,0.006402,0.631630,0.638032,0.006402,0.515021,0.752351,0.237329,10,7,3,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,8,10,1,1,2,0.515021,0.520862,0.644566,0.000000,0.000000,0.000000,0.000000,0,28,20,32,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,-0.006149,0.000000,0.006534,0.006534,0.638032,0.644566,0.006534,0.515021,0.752351,0.237329,10,8,2,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,3,9,46,1,1,2,0.515021,0.520862,0.651235,0.000000,0.000000,0.000000,0.000000,0,28,19,33,103.833000,77.666700,53.166700,0.385234,0.515021,0.752351,-0.006275,0.000000,0.006669,0.006669,0.644566,0.651235,0.006669,0.515021,0.752351,0.237329,10,9,1,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,4,0,60,1,1,2,0.522876,0.534212,0.604990,0.000000,0.000000,0.000000,0.000000,0,28,18,34,103.667000,76.500000,54.333300,0.385851,0.522876,0.736197,0.057601,0.063604,0.070778,0.070778,0.534212,0.604990,0.070778,0.522876,0.736197,0.213321,10,0,10,fixed,10,10,0,0,0.000000,1,
7,multi_greedy,10,4,1,55,0,0,1,0.398631,0.534212,0.605398,0.000000,0.000000,0.000000,0.000000,0,28,17,35,103.667000,76.500000,54.333300,0.390584,0.327021,0.049674,0.000000,0.000408,-0.065125,0.000408,0.604990,0.605398,0.000408,0.398631,0.327021,-0.071609,10,1,9,fixed,10,10,0,0,0.000000,1,
