seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag
1,online_dqn,4,1,18,2,2,4,0.000000,217.667000,0.183767,24,0.324643,39,0,2,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,0,20,36,24,59.000000,82.666700,217.667000,0.677966,0.483871,0.183767,0.011471,0.007114,0.003894,0.011471,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,19,0,0,4,0.000000,59.000000,0.677966,20,0.324643,39,0,0,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,-1,20,36,24,59.000000,82.666700,217.667000,0.677966,0.483871,0.183767,0.003894,-0.000271,-0.003350,0.000000,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,20,1,1,2,1.313571,82.666700,0.164196,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,0,20,36,24,59.000000,82.666700,217.667000,0.868343,0.147969,0.133036,0.014986,0.003894,0.003981,0.014986,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,21,0,0,4,0.000000,59.000000,0.677966,20,0.324643,39,0,0,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,-1,20,36,24,59.000000,82.666700,217.667000,0.677966,0.483871,0.183767,0.003894,-0.000271,-0.003350,0.000000,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,22,1,1,3,0.000000,82.666700,1.209677,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,1,20,36,24,59.000000,82.666700,217.667000,1.694915,1.209677,0.459417,0.007675,0.003894,0.003437,0.007675,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,23,1,1,1,2.759231,82.666700,0.919744,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,-1,20,36,24,59.000000,82.666700,217.667000,2.315581,0.863412,0.694423,0.008308,0.003894,0.004837,0.008308,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,24,1,1,4,0.000000,82.666700,0.483871,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,0,20,36,24,59.000000,82.666700,217.667000,0.677966,0.483871,0.183767,0.008166,0.003894,0.000735,0.008166,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,25,2,2,1,1.675854,217.667000,0.558618,24,0.324643,39,0,2,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,-1,20,36,24,59.000000,82.666700,217.667000,2.315581,0.846928,0.756305,0.007106,0.002650,0.003894,0.007106,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,26,1,1,3,0.000000,82.666700,1.209677,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,1,20,36,24,59.000000,82.666700,217.667000,1.694915,1.209677,0.459417,0.007675,0.003894,0.003437,0.007675,4,0,4,fixed,4,1,1,0
1,online_dqn,4,1,27,1,1,1,2.711227,82.666700,0.903742,36,0.324643,39,0,1,0,0.324643,0.328537,0.003894,0.003894,0.324643,0.000000,0,0,1,-1,20,36,24,59.000000,82.666700,217.667000,2.315581,0.865698,0.694423,0.008304,0.003894,0.004833,0.008304,4,0,4,fixed,4,1,1,0
