epoch,loss
1,0.01967738103121519
2,0.019494359381496906
3,0.01543972222134471
4,0.013796612620353699
5,0.01312046218663454
6,0.009349589934572577
7,0.009914453607052565
8,0.010092743439599872
9,0.011164005845785141
10,0.01255834149196744
11,0.008626971393823624
12,0.01671094261109829
13,0.011104588862508535
14,0.009751977398991585
15,0.007932627340778708
16,0.007959011476486921
17,0.011772974394261837
18,0.006101503968238831
19,0.00858327466994524
20,0.005797466496005654
21,0.009723481023684144
22,0.00823406153358519
23,0.005647266400046647
24,0.005700942827388644
25,0.006701349979266524
26,0.0056851087138056755
27,0.004806132987141609
28,0.007806324632838368
29,0.008214250672608614
30,0.005673905368894339
31,0.0056096764747053385
32,0.004366744076833129
33,0.004309797077439725
34,0.0037885449128225446
35,0.0041110934689641
36,0.005950073944404721
37,0.0037497845478355885
38,0.005456761573441327
39,0.004003976937383413
40,0.003961523761972785
41,0.004052107920870185
42,0.0029360742191784084
43,0.003689047647640109
44,0.0031525876838713884
45,0.0033228000393137336
46,0.002582863380666822
47,0.0024062342126853764
48,0.0026121516712009907
49,0.0026497120270505548
50,0.004284922848455608
