epoch,loss
1,0.15615709885954857
2,0.06890780463814736
3,0.04566461116075516
4,0.030968702882528305
5,0.020298845237120985
6,0.015773724177852274
7,0.013767931489273905
8,0.01229771191254258
9,0.010947484392672777
10,0.009674433367326856
11,0.008721033115871251
12,0.007917432747781276
13,0.007366861682385206
14,0.00753604946192354
15,0.007473375643603504
16,0.007324294182471931
17,0.007302673049271107
18,0.0075307954824529585
19,0.007822996792383493
20,0.007463057145942003
21,0.007189486359711736
22,0.00737356842495501
23,0.007779504964128136
24,0.007686046545859426
25,0.008414864661172033
26,0.0077993355039507155
27,0.006959641980938613
28,0.006932138053234667
29,0.00762947803363204
30,0.0073603128059767185
31,0.0077780356863513585
32,0.007613699370995164
33,0.0078581109829247
34,0.00766685638576746
35,0.0074428696511313315
36,0.007882151938974857
37,0.007748956065624952
38,0.007502646199427545
39,0.007987022039014847
40,0.0069044572999700906
41,0.007657112383749336
42,0.0072297972370870415
43,0.007016893441323191
44,0.0076892272150143985
45,0.006959665836766362
46,0.006979673244059086
47,0.006619121667463332
48,0.006757983788847923
49,0.006635602402966469
50,0.006643267213366926
