seed,method,max_switches,action_cycle_id,measured_cycle_id,h_before,h_after_estimated,estimated_reward,h_after_measured,measured_reward,cycle_reward,switch_count,num_degraded_users
8,multi_greedy,8,1,2,0.331071,0.494046,0.162976,0.475666,0.144596,0.128196,8,42
8,multi_greedy,8,2,3,0.475666,0.584736,0.109070,0.545881,0.070214,0.056214,8,30
8,multi_greedy,8,3,4,0.545881,0.637405,0.091524,0.595816,0.049935,0.036335,8,28
8,multi_greedy,8,4,5,0.595816,0.670896,0.075080,0.570695,-0.025121,-0.042721,8,48
