seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,applied,skip_reason
1003,online_dqn,1,1,0,45,2,2,0,0.078824,0.304374,0.322132,7.545322,5.676269,-0.957180,-1.869054,0,28,25,27,97.666700,80.333300,109.500000,0.458149,0.328289,0.101685,0.017758,0.016902,0.003697,0.017758,0.308071,0.322132,0.014061,1,
1003,online_dqn,1,2,0,27,2,2,0,0.093715,0.316495,0.331230,6.893350,5.183391,-0.851870,-1.709959,0,29,25,26,96.833300,78.333300,75.166700,0.414477,0.336159,0.094170,0.014736,0.014444,-0.000662,0.014736,0.315832,0.331230,0.015398,1,
1003,online_dqn,1,3,0,20,2,2,0,0.100000,0.350743,0.366893,6.728539,4.920976,-0.569330,-1.807563,0,30,25,25,96.666700,79.166700,62.166700,0.391505,0.332198,0.109922,0.016151,0.016137,0.001424,0.016151,0.352166,0.366893,0.014727,1,
1003,online_dqn,1,4,0,19,2,2,0,0.112700,0.370195,0.384758,7.063154,5.207239,-0.566288,-1.855915,0,31,25,24,99.500000,80.166700,61.666700,0.388106,0.328818,0.118125,0.014563,0.014632,0.000411,0.014563,0.370606,0.384758,0.014153,1,
