seed,method,max_switches,action_cycle_id,measured_cycle_id,h_before,h_after_estimated,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users
1004,online_dqn,1,1,2,0.278939,0.300670,0.021731,0.251176,-0.027763,1,41
1004,online_dqn,1,2,3,0.251176,0.266706,0.015531,0.245201,-0.005975,1,50
