seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
34,logistic,logistic,1,0,120,41,2,0,1,,0.318889,0.653702,0.318957,0.335496,0.016540,0.097350,0.750707,0.653356,57,57,20,30,30,90.166700,88.000000,63.666700
34,logistic,logistic,1,1,126,43,2,0,1,,0.318889,0.653702,0.335496,0.352579,0.017083,0.100708,0.716584,0.615876,57,56,21,30,29,90.166700,88.000000,63.666700
34,logistic,logistic,1,2,0,1,2,0,1,,0.318889,0.653702,0.352579,0.370100,0.017521,0.104304,0.685428,0.581123,57,55,22,30,28,90.166700,88.000000,63.666700
34,logistic,logistic,1,3,168,57,2,0,1,,0.318889,0.653702,0.370100,0.387920,0.017820,0.108168,0.656868,0.548701,57,54,23,30,27,90.166700,88.000000,63.666700
34,logistic,logistic,1,4,234,79,2,0,1,,0.318889,0.653702,0.387920,0.405865,0.017945,0.112328,0.630594,0.518266,57,53,24,30,26,90.166700,88.000000,63.666700
34,logistic,logistic,1,5,117,40,2,0,1,,0.318889,0.653702,0.405865,0.423722,0.017856,0.116821,0.606340,0.489519,57,52,25,30,25,90.166700,88.000000,63.666700
34,logistic,logistic,1,6,225,76,2,0,1,,0.318889,0.653702,0.423722,0.441237,0.017516,0.121689,0.583883,0.462194,57,51,26,30,24,90.166700,88.000000,63.666700
34,logistic,logistic,1,7,99,34,2,0,1,,0.318889,0.653702,0.441237,0.458124,0.016887,0.126980,0.563030,0.436050,57,50,27,30,23,90.166700,88.000000,63.666700
34,logistic,logistic,1,8,42,15,2,0,1,,0.318889,0.653702,0.458124,0.474064,0.015940,0.132753,0.543615,0.410863,57,49,28,30,22,90.166700,88.000000,63.666700
34,logistic,logistic,1,9,66,23,2,0,1,,0.318889,0.653702,0.474064,0.488717,0.014653,0.139074,0.525495,0.386420,57,48,29,30,21,90.166700,88.000000,63.666700
34,logistic,logistic,1,10,9,4,2,0,1,,0.318889,0.653702,0.488717,0.501734,0.013016,0.146063,0.508543,0.362480,57,47,30,30,20,90.166700,88.000000,63.666700
34,logistic,logistic,1,11,24,9,2,0,1,,0.318889,0.653702,0.501734,0.512781,0.011047,0.153752,0.492651,0.338899,57,46,31,30,19,90.166700,88.000000,63.666700
34,logistic,logistic,1,12,5,2,1,2,1,,0.318889,0.653702,0.512781,0.518813,0.006032,0.454545,0.628272,0.173726,57,45,32,30,18,90.166700,88.000000,63.666700
34,logistic,logistic,1,13,14,5,1,2,1,,0.318889,0.653702,0.518813,0.524989,0.006176,0.454545,0.628272,0.173726,57,44,32,29,19,90.166700,88.000000,63.666700
34,logistic,logistic,1,14,65,22,1,2,1,,0.318889,0.653702,0.524989,0.531314,0.006325,0.454545,0.628272,0.173726,57,43,32,28,20,90.166700,88.000000,63.666700
34,logistic,logistic,1,15,71,24,1,2,1,,0.318889,0.653702,0.531314,0.537793,0.006479,0.454545,0.628272,0.173726,57,42,32,27,21,90.166700,88.000000,63.666700
34,logistic,logistic,1,16,74,25,1,2,1,,0.318889,0.653702,0.537793,0.544432,0.006639,0.454545,0.628272,0.173726,57,41,32,26,22,90.166700,88.000000,63.666700
34,logistic,logistic,1,17,113,38,1,2,1,,0.318889,0.653702,0.544432,0.551237,0.006805,0.454545,0.628272,0.173726,57,40,32,25,23,90.166700,88.000000,63.666700
34,logistic,logistic,1,18,125,42,1,2,1,,0.318889,0.653702,0.551237,0.558214,0.006977,0.454545,0.628272,0.173726,57,39,32,24,24,90.166700,88.000000,63.666700
34,logistic,logistic,1,19,152,51,1,2,1,,0.318889,0.653702,0.558214,0.565370,0.007156,0.454545,0.628272,0.173726,57,38,32,23,25,90.166700,88.000000,63.666700
34,logistic,logistic,1,20,188,63,1,2,1,,0.318889,0.653702,0.565370,0.572712,0.007342,0.454545,0.628272,0.173726,57,37,32,22,26,90.166700,88.000000,63.666700
34,logistic,logistic,1,21,203,68,1,2,1,,0.318889,0.653702,0.572712,0.580248,0.007535,0.454545,0.628272,0.173726,57,36,32,21,27,90.166700,88.000000,63.666700
34,logistic,logistic,1,22,218,73,1,2,1,,0.318889,0.653702,0.580248,0.587984,0.007736,0.454545,0.628272,0.173726,57,35,32,20,28,90.166700,88.000000,63.666700
34,logistic,logistic,1,23,50,17,0,2,1,,0.318889,0.653702,0.587984,0.595712,0.007728,0.443623,0.628272,0.184649,57,34,32,19,29,90.166700,88.000000,63.666700
34,logistic,logistic,1,24,92,31,0,2,1,,0.318889,0.653702,0.595712,0.603646,0.007934,0.443623,0.628272,0.184649,57,33,31,19,30,90.166700,88.000000,63.666700
34,logistic,logistic,1,25,116,39,0,2,1,,0.318889,0.653702,0.603646,0.611794,0.008148,0.443623,0.628272,0.184649,57,32,30,19,31,90.166700,88.000000,63.666700
34,logistic,logistic,1,26,143,48,0,2,1,,0.318889,0.653702,0.611794,0.620165,0.008371,0.443623,0.628272,0.184649,57,31,29,19,32,90.166700,88.000000,63.666700
34,logistic,logistic,1,27,167,56,0,2,1,,0.318889,0.653702,0.620165,0.628768,0.008603,0.443623,0.628272,0.184649,57,30,28,19,33,90.166700,88.000000,63.666700
34,logistic,logistic,1,28,179,60,0,2,1,,0.318889,0.653702,0.628768,0.637613,0.008845,0.443623,0.628272,0.184649,57,29,27,19,34,90.166700,88.000000,63.666700
34,logistic,logistic,1,29,185,62,0,2,1,,0.318889,0.653702,0.637613,0.646711,0.009098,0.443623,0.628272,0.184649,57,28,26,19,35,90.166700,88.000000,63.666700
