seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
41,logistic,logistic,1,32,161,54,0,2,1,,0.402191,0.992839,0.787059,0.795394,0.008335,1.003344,1.612903,0.609559,58,26,30,20,30,99.666700,80.333300,62.000000
41,logistic,logistic,1,33,85,29,2,1,1,,0.402191,0.992839,0.795394,0.804329,0.008935,0.517806,1.450299,0.932494,58,25,29,20,31,99.666700,80.333300,62.000000
41,logistic,logistic,1,34,227,76,0,2,1,,0.402191,0.992839,0.804329,0.813550,0.009222,1.003344,1.612903,0.609559,58,24,29,21,30,99.666700,80.333300,62.000000
41,logistic,logistic,1,35,135,46,1,0,1,,0.402191,0.992839,0.813550,0.823046,0.009495,0.339058,0.925083,0.586026,58,23,28,21,31,99.666700,80.333300,62.000000
41,logistic,logistic,1,36,175,59,2,1,1,,0.402191,0.992839,0.823046,0.832949,0.009903,0.519721,1.450299,0.930578,58,22,29,20,31,99.666700,80.333300,62.000000
41,logistic,logistic,1,37,70,24,2,1,1,,0.402191,0.992839,0.832949,0.841411,0.008461,0.537053,1.384376,0.847323,58,21,29,21,30,99.666700,80.333300,62.000000
41,logistic,logistic,1,38,115,39,0,1,1,,0.402191,0.992839,0.841411,0.848328,0.006917,1.170425,1.324186,0.153762,58,20,29,22,29,99.666700,80.333300,62.000000
41,logistic,logistic,1,39,181,61,2,1,1,,0.402191,0.992839,0.848328,0.854678,0.006350,0.558698,1.269012,0.710314,58,19,28,23,29,99.666700,80.333300,62.000000
41,logistic,logistic,1,40,119,40,1,2,1,,0.402191,0.992839,0.854678,0.861975,0.007297,0.497926,0.645161,0.147236,58,18,28,24,28,99.666700,80.333300,62.000000
41,logistic,logistic,1,41,140,47,1,2,1,,0.402191,0.992839,0.861975,0.869397,0.007423,0.497926,0.645161,0.147236,58,17,28,23,29,99.666700,80.333300,62.000000
