seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
14,logistic,logistic,1,0,75,26,2,0,1,,0.505173,0.952072,0.505395,0.525120,0.019725,0.161651,0.729703,0.568051,52,52,31,22,27,93.000000,84.166700,64.666700
14,logistic,logistic,1,1,231,78,2,0,1,,0.505173,0.952072,0.525120,0.544423,0.019302,0.167889,0.707590,0.539702,52,51,32,22,26,93.000000,84.166700,64.666700
14,logistic,logistic,1,2,54,19,2,0,1,,0.505173,0.952072,0.544423,0.563035,0.018612,0.174604,0.686779,0.512175,52,50,33,22,25,93.000000,84.166700,64.666700
14,logistic,logistic,1,3,87,30,2,0,1,,0.505173,0.952072,0.563035,0.580663,0.017628,0.181881,0.667157,0.485275,52,49,34,22,24,93.000000,84.166700,64.666700
14,logistic,logistic,1,4,39,14,2,0,1,,0.505173,0.952072,0.580663,0.596996,0.016333,0.189810,0.648625,0.458815,52,48,35,22,23,93.000000,84.166700,64.666700
14,logistic,logistic,1,5,45,16,2,0,1,,0.505173,0.952072,0.596996,0.611719,0.014724,0.198439,0.631094,0.432655,52,47,36,22,22,93.000000,84.166700,64.666700
14,logistic,logistic,1,6,222,75,2,0,1,,0.505173,0.952072,0.611719,0.624472,0.012752,0.208389,0.614486,0.406097,52,46,37,22,21,93.000000,84.166700,64.666700
14,logistic,logistic,1,7,84,29,2,0,1,,0.505173,0.952072,0.624472,0.635012,0.010540,0.218890,0.598730,0.379840,52,45,38,22,20,93.000000,84.166700,64.666700
14,logistic,logistic,1,8,20,7,1,2,1,,0.505173,0.952072,0.635012,0.643947,0.008935,0.475247,0.618556,0.143309,52,44,39,22,19,93.000000,84.166700,64.666700
14,logistic,logistic,1,9,38,13,1,2,1,,0.505173,0.952072,0.643947,0.653137,0.009190,0.475247,0.618556,0.143309,52,43,39,21,20,93.000000,84.166700,64.666700
14,logistic,logistic,1,10,104,35,1,2,1,,0.505173,0.952072,0.653137,0.662593,0.009456,0.475247,0.618556,0.143309,52,42,39,20,21,93.000000,84.166700,64.666700
14,logistic,logistic,1,11,161,54,1,2,1,,0.505173,0.952072,0.662593,0.672327,0.009734,0.475247,0.618556,0.143309,52,41,39,19,22,93.000000,84.166700,64.666700
14,logistic,logistic,1,12,191,64,1,2,1,,0.505173,0.952072,0.672327,0.682352,0.010024,0.475247,0.618556,0.143309,52,40,39,18,23,93.000000,84.166700,64.666700
14,logistic,logistic,1,13,218,73,1,2,1,,0.505173,0.952072,0.682352,0.692680,0.010328,0.475247,0.618556,0.143309,52,39,39,17,24,93.000000,84.166700,64.666700
14,logistic,logistic,1,14,17,6,0,2,1,,0.505173,0.952072,0.692680,0.701937,0.009257,0.430108,0.618556,0.188449,52,38,39,16,25,93.000000,84.166700,64.666700
14,logistic,logistic,1,15,26,9,0,2,1,,0.505173,0.952072,0.701937,0.711445,0.009508,0.430108,0.618556,0.188449,52,37,38,16,26,93.000000,84.166700,64.666700
14,logistic,logistic,1,16,50,17,0,2,1,,0.505173,0.952072,0.711445,0.721213,0.009769,0.430108,0.618556,0.188449,52,36,37,16,27,93.000000,84.166700,64.666700
14,logistic,logistic,1,17,107,36,0,2,1,,0.505173,0.952072,0.721213,0.731254,0.010041,0.430108,0.618556,0.188449,52,35,36,16,28,93.000000,84.166700,64.666700
14,logistic,logistic,1,18,110,37,0,2,1,,0.505173,0.952072,0.731254,0.741579,0.010324,0.430108,0.618556,0.188449,52,34,35,16,29,93.000000,84.166700,64.666700
14,logistic,logistic,1,19,119,40,0,2,1,,0.505173,0.952072,0.741579,0.752199,0.010620,0.430108,0.618556,0.188449,52,33,34,16,30,93.000000,84.166700,64.666700
14,logistic,logistic,1,20,149,50,0,2,1,,0.505173,0.952072,0.752199,0.763128,0.010929,0.430108,0.618556,0.188449,52,32,33,16,31,93.000000,84.166700,64.666700
14,logistic,logistic,1,21,158,53,0,2,1,,0.505173,0.952072,0.763128,0.774379,0.011251,0.430108,0.618556,0.188449,52,31,32,16,32,93.000000,84.166700,64.666700
14,logistic,logistic,1,22,2,1,1,2,1,,0.505173,0.952072,0.774379,0.785445,0.011067,1.188118,1.546391,0.358273,52,30,31,16,33,93.000000,84.166700,64.666700
14,logistic,logistic,1,23,101,34,1,2,1,,0.505173,0.952072,0.785445,0.796833,0.011387,1.188118,1.546391,0.358273,52,29,31,15,34,93.000000,84.166700,64.666700
14,logistic,logistic,1,24,206,69,1,2,1,,0.505173,0.952072,0.796833,0.808555,0.011723,1.188118,1.546391,0.358273,52,28,31,14,35,93.000000,84.166700,64.666700
14,logistic,logistic,1,25,23,8,0,2,1,,0.505173,0.952072,0.808555,0.817630,0.009074,1.075269,1.546391,0.471122,52,27,31,13,36,93.000000,84.166700,64.666700
14,logistic,logistic,1,26,68,23,0,2,1,,0.505173,0.952072,0.817630,0.826910,0.009280,1.075269,1.546391,0.471122,52,26,30,13,37,93.000000,84.166700,64.666700
14,logistic,logistic,1,27,71,24,0,2,1,,0.505173,0.952072,0.826910,0.836404,0.009494,1.075269,1.546391,0.471122,52,25,29,13,38,93.000000,84.166700,64.666700
14,logistic,logistic,1,28,95,32,0,2,1,,0.505173,0.952072,0.836404,0.846118,0.009714,1.075269,1.546391,0.471122,52,24,28,13,39,93.000000,84.166700,64.666700
14,logistic,logistic,1,29,128,43,0,2,1,,0.505173,0.952072,0.846118,0.856060,0.009942,1.075269,1.546391,0.471122,52,23,27,13,40,93.000000,84.166700,64.666700
14,logistic,logistic,1,30,137,46,0,2,1,,0.505173,0.952072,0.856060,0.866239,0.010179,1.075269,1.546391,0.471122,52,22,26,13,41,93.000000,84.166700,64.666700
14,logistic,logistic,1,31,164,55,0,2,1,,0.505173,0.952072,0.866239,0.876663,0.010424,1.075269,1.546391,0.471122,52,21,25,13,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,32,9,4,1,0,1,,0.505173,0.952072,0.876663,0.885239,0.008576,0.611745,0.934019,0.322274,52,20,24,13,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,33,30,11,1,0,1,,0.505173,0.952072,0.885239,0.890629,0.005390,0.662725,0.898095,0.235370,52,19,25,12,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,34,72,25,1,0,1,,0.505173,0.952072,0.890629,0.892714,0.002085,0.722974,0.864833,0.141859,52,18,26,11,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,35,133,45,0,1,1,,0.505173,0.952072,0.892714,0.896517,0.003803,1.287537,2.338238,1.050701,52,17,27,10,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,36,13,5,0,1,1,,0.505173,0.952072,0.896517,0.898984,0.002467,1.337061,2.143385,0.806324,52,16,26,11,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,37,90,31,1,0,1,,0.505173,0.952072,0.898984,0.902484,0.003500,0.662728,0.898095,0.235367,52,15,25,12,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,38,58,20,0,1,1,,0.505173,0.952072,0.902484,0.906018,0.003534,1.337098,2.143385,0.806287,52,14,26,11,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,39,3,2,1,0,1,,0.505173,0.952072,0.906018,0.908530,0.002512,0.662753,0.898095,0.235343,52,13,25,12,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,40,82,28,0,1,1,,0.505173,0.952072,0.908530,0.913162,0.004632,1.337098,2.143385,0.806287,52,12,26,11,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,41,193,65,2,1,1,,0.505173,0.952072,0.913162,0.916595,0.003433,0.602587,1.978509,1.375922,52,11,25,12,43,93.000000,84.166700,64.666700
14,logistic,logistic,1,42,120,41,1,0,1,,0.505173,0.952072,0.916595,0.919839,0.003244,0.611773,0.898095,0.286323,52,10,25,13,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,43,115,39,0,1,1,,0.505173,0.952072,0.919839,0.924835,0.004996,1.337098,1.978509,0.641411,52,9,26,12,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,44,229,77,0,1,1,,0.505173,0.952072,0.924835,0.928425,0.003591,1.390624,1.837187,0.446563,52,8,25,13,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,45,180,61,1,0,1,,0.505173,0.952072,0.928425,0.933224,0.004799,0.568075,0.934019,0.365944,52,7,24,14,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,46,145,49,0,1,1,,0.505173,0.952072,0.933224,0.937682,0.004458,1.449260,1.837187,0.387927,52,6,25,13,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,47,198,67,1,0,1,,0.505173,0.952072,0.937682,0.941445,0.003763,0.568075,0.934019,0.365944,52,5,24,14,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,48,172,58,2,1,1,,0.505173,0.952072,0.941445,0.945916,0.004472,0.629685,1.837187,1.207502,52,4,25,13,42,93.000000,84.166700,64.666700
14,logistic,logistic,1,49,238,80,2,1,1,,0.505173,0.952072,0.945916,0.948359,0.002443,0.658309,1.714708,1.056399,52,3,25,14,41,93.000000,84.166700,64.666700
14,logistic,logistic,1,50,168,57,1,0,1,,0.505173,0.952072,0.948359,0.952118,0.003759,0.530225,0.898095,0.367871,52,2,25,15,40,93.000000,84.166700,64.666700
14,logistic,logistic,1,51,111,38,1,0,1,,0.505173,0.952072,0.952118,0.952072,-0.000046,0.568100,0.864833,0.296733,52,1,26,14,40,93.000000,84.166700,64.666700
