seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
43,logistic,logistic,1,0,138,47,2,0,1,,0.286266,0.901259,0.286377,0.304945,0.018568,0.076990,0.848877,0.771887,58,58,26,26,28,102.500000,79.666700,61.500000
43,logistic,logistic,1,1,51,18,2,0,1,,0.286266,0.901259,0.304945,0.324745,0.019799,0.079841,0.818560,0.738718,58,57,27,26,27,102.500000,79.666700,61.500000
43,logistic,logistic,1,2,102,35,2,0,1,,0.286266,0.901259,0.324745,0.345770,0.021025,0.082912,0.790333,0.707421,58,56,28,26,26,102.500000,79.666700,61.500000
43,logistic,logistic,1,3,42,15,2,0,1,,0.286266,0.901259,0.345770,0.367980,0.022210,0.086228,0.763989,0.677760,58,55,29,26,25,102.500000,79.666700,61.500000
43,logistic,logistic,1,4,129,44,2,0,1,,0.286266,0.901259,0.367980,0.391287,0.023307,0.089821,0.739344,0.649523,58,54,30,26,24,102.500000,79.666700,61.500000
43,logistic,logistic,1,5,153,52,2,0,1,,0.286266,0.901259,0.391287,0.415543,0.024256,0.093727,0.716240,0.622513,58,53,31,26,23,102.500000,79.666700,61.500000
43,logistic,logistic,1,6,132,45,2,0,1,,0.286266,0.901259,0.415543,0.440529,0.024986,0.097987,0.694535,0.596548,58,52,32,26,22,102.500000,79.666700,61.500000
43,logistic,logistic,1,7,162,55,2,0,1,,0.286266,0.901259,0.440529,0.465938,0.025409,0.102669,0.674108,0.571439,58,51,33,26,21,102.500000,79.666700,61.500000
43,logistic,logistic,1,8,207,70,2,0,1,,0.286266,0.901259,0.465938,0.491374,0.025437,0.107802,0.654848,0.547045,58,50,34,26,20,102.500000,79.666700,61.500000
43,logistic,logistic,1,9,228,77,2,0,1,,0.286266,0.901259,0.491374,0.516344,0.024970,0.113476,0.636657,0.523181,58,49,35,26,19,102.500000,79.666700,61.500000
43,logistic,logistic,1,10,39,14,2,0,1,,0.286266,0.901259,0.516344,0.540259,0.023915,0.119781,0.619450,0.499670,58,48,36,26,18,102.500000,79.666700,61.500000
43,logistic,logistic,1,11,15,6,2,0,1,,0.286266,0.901259,0.540259,0.562455,0.022196,0.126827,0.603149,0.476322,58,47,37,26,17,102.500000,79.666700,61.500000
43,logistic,logistic,1,12,18,7,1,0,1,,0.286266,0.901259,0.562455,0.571709,0.009254,0.267583,0.587684,0.320101,58,46,38,26,16,102.500000,79.666700,61.500000
43,logistic,logistic,1,13,183,62,1,0,1,,0.286266,0.901259,0.571709,0.579693,0.007984,0.278307,0.572992,0.294685,58,45,39,25,16,102.500000,79.666700,61.500000
43,logistic,logistic,1,14,126,43,1,0,1,,0.286266,0.901259,0.579693,0.586289,0.006596,0.289903,0.559016,0.269114,58,44,40,24,16,102.500000,79.666700,61.500000
43,logistic,logistic,1,15,2,1,0,2,1,,0.286266,0.901259,0.586289,0.593170,0.006881,0.390244,0.650407,0.260163,58,43,41,23,16,102.500000,79.666700,61.500000
43,logistic,logistic,1,16,23,8,0,2,1,,0.286266,0.901259,0.593170,0.600214,0.007044,0.390244,0.650407,0.260163,58,42,40,23,17,102.500000,79.666700,61.500000
