seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
39,logistic,logistic,1,0,66,23,2,0,1,,0.268388,0.652767,0.275846,0.291299,0.015453,0.084519,0.702567,0.618048,57,57,21,29,30,97.333300,84.000000,64.333300
39,logistic,logistic,1,1,33,12,2,0,1,,0.268388,0.652767,0.291299,0.307498,0.016198,0.087434,0.672020,0.584586,57,56,22,29,29,97.333300,84.000000,64.333300
39,logistic,logistic,1,2,3,2,2,0,1,,0.268388,0.652767,0.307498,0.324390,0.016892,0.090567,0.644019,0.553453,57,55,23,29,28,97.333300,84.000000,64.333300
39,logistic,logistic,1,3,21,8,2,0,1,,0.268388,0.652767,0.324390,0.341900,0.017509,0.093921,0.618259,0.524337,57,54,24,29,27,97.333300,84.000000,64.333300
39,logistic,logistic,1,4,219,74,2,0,1,,0.268388,0.652767,0.341900,0.359913,0.018013,0.097544,0.594479,0.496935,57,53,25,29,26,97.333300,84.000000,64.333300
39,logistic,logistic,1,5,0,1,2,0,1,,0.268388,0.652767,0.359913,0.378280,0.018367,0.101446,0.572462,0.471016,57,52,26,29,25,97.333300,84.000000,64.333300
39,logistic,logistic,1,6,81,28,2,0,1,,0.268388,0.652767,0.378280,0.396807,0.018528,0.105673,0.552017,0.446343,57,51,27,29,24,97.333300,84.000000,64.333300
39,logistic,logistic,1,7,138,47,2,0,1,,0.268388,0.652767,0.396807,0.415255,0.018448,0.110268,0.532982,0.422714,57,50,28,29,23,97.333300,84.000000,64.333300
39,logistic,logistic,1,8,156,53,2,0,1,,0.268388,0.652767,0.415255,0.433337,0.018081,0.115280,0.515215,0.399935,57,49,29,29,22,97.333300,84.000000,64.333300
39,logistic,logistic,1,9,168,57,2,0,1,,0.268388,0.652767,0.433337,0.450721,0.017384,0.120770,0.498596,0.377826,57,48,30,29,21,97.333300,84.000000,64.333300
39,logistic,logistic,1,10,96,33,2,0,1,,0.268388,0.652767,0.450721,0.467042,0.016321,0.126808,0.483015,0.356206,57,47,31,29,20,97.333300,84.000000,64.333300
39,logistic,logistic,1,11,171,58,2,0,1,,0.268388,0.652767,0.467042,0.481909,0.014868,0.133483,0.468378,0.334895,57,46,32,29,19,97.333300,84.000000,64.333300
39,logistic,logistic,1,12,78,27,2,0,1,,0.268388,0.652767,0.481909,0.494904,0.012995,0.141061,0.454602,0.313541,57,45,33,29,18,97.333300,84.000000,64.333300
39,logistic,logistic,1,13,135,46,2,0,1,,0.268388,0.652767,0.494904,0.505151,0.010247,0.153320,0.441613,0.288294,57,44,34,29,17,97.333300,84.000000,64.333300
39,logistic,logistic,1,14,45,16,2,0,1,,0.268388,0.652767,0.505151,0.512643,0.007492,0.164842,0.429346,0.264504,57,43,35,29,16,97.333300,84.000000,64.333300
39,logistic,logistic,1,15,32,11,0,2,1,,0.268388,0.652767,0.512643,0.520354,0.007711,0.410959,0.621762,0.210803,57,42,36,29,15,97.333300,84.000000,64.333300
39,logistic,logistic,1,16,119,40,0,2,1,,0.268388,0.652767,0.520354,0.528300,0.007946,0.410959,0.621762,0.210803,57,41,35,29,16,97.333300,84.000000,64.333300
39,logistic,logistic,1,17,152,51,0,2,1,,0.268388,0.652767,0.528300,0.536493,0.008193,0.410959,0.621762,0.210803,57,40,34,29,17,97.333300,84.000000,64.333300
39,logistic,logistic,1,18,164,55,0,2,1,,0.268388,0.652767,0.536493,0.544944,0.008451,0.410959,0.621762,0.210803,57,39,33,29,18,97.333300,84.000000,64.333300
39,logistic,logistic,1,19,191,64,0,2,1,,0.268388,0.652767,0.544944,0.553665,0.008721,0.410959,0.621762,0.210803,57,38,32,29,19,97.333300,84.000000,64.333300
39,logistic,logistic,1,20,59,20,0,2,1,,0.268388,0.652767,0.553665,0.560718,0.007053,1.027398,1.554405,0.527007,57,37,31,29,20,97.333300,84.000000,64.333300
39,logistic,logistic,1,21,212,71,0,2,1,,0.268388,0.652767,0.560718,0.567953,0.007235,1.027398,1.554405,0.527007,57,36,30,29,21,97.333300,84.000000,64.333300
39,logistic,logistic,1,22,17,6,1,2,1,,0.268388,0.652767,0.567953,0.574669,0.006716,0.476190,0.621762,0.145572,57,35,29,29,22,97.333300,84.000000,64.333300
39,logistic,logistic,1,23,62,21,1,2,1,,0.268388,0.652767,0.574669,0.581545,0.006876,0.476190,0.621762,0.145572,57,34,29,28,23,97.333300,84.000000,64.333300
39,logistic,logistic,1,24,74,25,1,2,1,,0.268388,0.652767,0.581545,0.588588,0.007043,0.476190,0.621762,0.145572,57,33,29,27,24,97.333300,84.000000,64.333300
39,logistic,logistic,1,25,110,37,1,2,1,,0.268388,0.652767,0.588588,0.595803,0.007215,0.476190,0.621762,0.145572,57,32,29,26,25,97.333300,84.000000,64.333300
39,logistic,logistic,1,26,143,48,1,2,1,,0.268388,0.652767,0.595803,0.603198,0.007395,0.476190,0.621762,0.145572,57,31,29,25,26,97.333300,84.000000,64.333300
39,logistic,logistic,1,27,155,52,1,2,1,,0.268388,0.652767,0.603198,0.610778,0.007580,0.476190,0.621762,0.145572,57,30,29,24,27,97.333300,84.000000,64.333300
39,logistic,logistic,1,28,194,65,1,2,1,,0.268388,0.652767,0.610778,0.618551,0.007773,0.476190,0.621762,0.145572,57,29,29,23,28,97.333300,84.000000,64.333300
