seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
50,logistic,logistic,1,0,219,74,2,0,1,,0.395065,0.901005,0.395308,0.420730,0.025422,0.088574,0.667813,0.579239,57,57,34,21,25,93.500000,83.000000,58.166700
50,logistic,logistic,1,1,135,46,2,0,1,,0.395065,0.901005,0.420730,0.447161,0.026431,0.092264,0.649262,0.556998,57,56,35,21,24,93.500000,83.000000,58.166700
50,logistic,logistic,1,2,171,58,2,0,1,,0.395065,0.901005,0.447161,0.474338,0.027177,0.096276,0.631715,0.535438,57,55,36,21,23,93.500000,83.000000,58.166700
50,logistic,logistic,1,3,66,23,2,0,1,,0.395065,0.901005,0.474338,0.501900,0.027562,0.100653,0.615091,0.514438,57,54,37,21,22,93.500000,83.000000,58.166700
50,logistic,logistic,1,4,6,3,2,0,1,,0.395065,0.901005,0.501900,0.529366,0.027467,0.105476,0.599319,0.493843,57,53,38,21,21,93.500000,83.000000,58.166700
50,logistic,logistic,1,5,33,12,2,0,1,,0.395065,0.901005,0.529366,0.556153,0.026787,0.110787,0.584336,0.473549,57,52,39,21,20,93.500000,83.000000,58.166700
50,logistic,logistic,1,6,159,54,1,0,1,,0.395065,0.901005,0.556153,0.564071,0.007918,0.319093,0.570084,0.250991,57,51,40,21,19,93.500000,83.000000,58.166700
50,logistic,logistic,1,7,174,59,1,0,1,,0.395065,0.901005,0.564071,0.570649,0.006578,0.335064,0.556510,0.221447,57,50,41,20,19,93.500000,83.000000,58.166700
50,logistic,logistic,1,8,132,45,1,0,1,,0.395065,0.901005,0.570649,0.575787,0.005138,0.352699,0.543568,0.190869,57,49,42,19,19,93.500000,83.000000,58.166700
50,logistic,logistic,1,9,11,4,0,2,1,,0.395065,0.901005,0.575787,0.580342,0.004555,0.427807,0.687679,0.259871,57,48,43,18,19,93.500000,83.000000,58.166700
50,logistic,logistic,1,10,17,6,0,2,1,,0.395065,0.901005,0.580342,0.584970,0.004628,0.427807,0.687679,0.259871,57,47,42,18,20,93.500000,83.000000,58.166700
50,logistic,logistic,1,11,32,11,0,2,1,,0.395065,0.901005,0.584970,0.589672,0.004702,0.427807,0.687679,0.259871,57,46,41,18,21,93.500000,83.000000,58.166700
50,logistic,logistic,1,12,38,13,0,2,1,,0.395065,0.901005,0.589672,0.594450,0.004778,0.427807,0.687679,0.259871,57,45,40,18,22,93.500000,83.000000,58.166700
50,logistic,logistic,1,13,65,22,0,2,1,,0.395065,0.901005,0.594450,0.599307,0.004856,0.427807,0.687679,0.259871,57,44,39,18,23,93.500000,83.000000,58.166700
