seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec,expert_bs_id,run_index,source_file,source_condition,best_cycle,best_harmonic_mean,is_noop_to_best,sample_weight
9,multi_greedy,3,1,2,1,1,3,0.0,86.8333,1.151632,34,0.321428,42,0,1,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.0,3,0,1,1,26,34,20,82.8333,86.8333,63.6667,1.207244,1.151632,1.57068,0.002936,5.9e-05,-0.002459,0.002936,3,3,0,fixed,3,3,0,0,3.0,4.0,1,29,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_9_20260819_082758.csv,multi_greedy_K3,5,0.465542,1,1.05872
10,multi_greedy,6,1,33,1,1,4,0.0,80.5,0.496894,28,0.30604,37,0,1,0,0.30604,0.403976,0.097936,0.097936,0.30604,0.0,6,0,1,0,28,28,24,97.1667,80.5,64.3333,0.411664,0.496894,0.621762,0.001625,0.000217,-0.00287,0.001625,6,6,0,fixed,6,6,0,0,3.0,4.0,1,40,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_10_20260819_115426.csv,multi_greedy_K6,4,0.427373,1,1.0325
8,multi_greedy,10,1,66,2,2,2,0.855708,66.1667,0.106964,34,0.331071,29,0,2,0,0.331071,0.533826,0.202755,0.202755,0.331071,0.0,10,0,1,0,25,21,34,103.167,80.6667,66.1667,0.753556,0.566906,0.106906,0.026659,0.025999,0.009345,0.026659,10,10,0,fixed,10,10,0,0,3.0,4.0,0,18,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_8_20260819_033618.csv,multi_greedy_K10,4,0.59584,0,1.53318
7,multi_greedy,6,1,37,0,0,4,0.0,94.1667,0.424779,25,0.337456,37,0,0,0,0.337456,0.443662,0.106205,0.106205,0.337456,0.0,6,0,1,0,25,29,26,94.1667,85.1667,58.3333,0.424779,0.469667,0.685715,0.000184,-0.002608,-0.002907,0.0,6,6,0,fixed,6,6,0,0,3.0,4.0,2,47,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_7_20260818_220722.csv,multi_greedy_K6,5,0.509411,0,1.0
9,multi_greedy,8,1,9,1,1,2,1.496105,86.8333,0.187013,34,0.321428,42,0,1,0,0.321428,0.436322,0.114895,0.114895,0.321428,0.0,8,0,1,0,26,34,20,82.8333,86.8333,63.6667,0.747438,0.186906,0.105531,0.008033,5.9e-05,-0.008099,0.008033,8,8,0,fixed,8,8,0,0,3.0,4.0,0,59,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K8/master_log_9_20260819_083818.csv,multi_greedy_K8,5,0.526466,0,1.16066
9,multi_greedy,6,1,30,0,0,4,0.0,82.8333,0.482898,26,0.321428,42,0,0,0,0.321428,0.411802,0.090375,0.090375,0.321428,0.0,6,0,1,0,26,34,20,82.8333,86.8333,63.6667,0.482898,0.460653,0.628272,5.9e-05,-0.002843,-0.004882,0.0,6,6,0,fixed,6,6,0,0,3.0,4.0,2,49,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_9_20260819_083544.csv,multi_greedy_K6,5,0.504731,0,1.0
5,multi_greedy,8,2,50,1,1,2,1.916823,82.8333,0.239603,26,0.360862,43,0,1,0,0.360862,0.525841,0.164978,0.164978,0.360862,0.062325,8,41,1,0,32,26,22,98.1667,82.8333,53.8333,0.418404,0.239715,0.051813,0.004059,7.7e-05,-0.025525,0.004059,8,8,0,fixed,8,8,0,0,3.0,4.0,1,55,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K8/master_log_5_20260819_001229.csv,multi_greedy_K8,3,0.484904,1,1.08118
4,multi_greedy,6,1,52,1,1,2,1.423962,79.6667,0.177995,31,0.332194,28,0,1,0,0.332194,0.40072,0.068526,0.068526,0.332194,0.0,6,0,1,0,27,31,22,107.5,79.6667,67.8333,0.56449,0.17759,0.125159,0.007439,0.000696,-0.005763,0.007439,6,6,0,fixed,6,6,0,0,3.0,4.0,0,44,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_4_20260818_183818.csv,multi_greedy_K6,5,0.454275,0,1.14878
1,multi_greedy,1,2,54,1,1,4,0.0,81.0,0.493827,36,0.370329,25,0,1,0,0.370329,0.389421,0.019092,0.019092,0.370329,-0.006485,1,19,1,0,21,36,23,64.5,81.0,54.8333,0.620155,0.493827,0.729484,0.00577,0.000398,0.003183,0.00577,1,1,0,fixed,1,1,0,0,3.0,4.0,1,1,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_1_20260818_015228.csv,multi_greedy_K1,5,0.415871,1,1.1154
10,multi_greedy,4,2,45,2,2,2,0.66013,57.3333,0.082516,20,0.321716,26,0,0,1,0.321716,0.395203,0.073487,0.073487,0.321716,0.015675,4,37,1,0,32,28,20,96.8333,80.0,57.3333,0.503691,0.165071,0.08335,0.018628,0.010852,0.000172,0.018628,4,4,0,fixed,4,4,0,0,3.0,4.0,0,30,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_10_20260819_115417.csv,multi_greedy_K4,4,0.45084,0,1.37256
