seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,applied,skip_reason
1004,online_dqn,3,1,0,76,2,2,2,0.073768,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.102047,0.030551,0.022461,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,1,60,2,2,2,0.074038,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.102009,0.030556,0.022465,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,2,1,2,2,2,0.074718,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.101911,0.030566,0.022475,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,3,6,2,2,2,0.090440,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.099665,0.030824,0.022720,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,4,36,2,2,2,0.110520,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.096797,0.031172,0.023050,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,5,2,0,0,0,0.111337,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.682154,0.160450,0.094408,0.017809,0.009994,0.004460,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,6,38,0,0,0,0.111474,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.682132,0.160450,0.094408,0.017809,0.009994,0.004460,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,7,58,2,2,2,0.121170,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.095275,0.031365,0.023233,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,8,15,2,2,2,0.121588,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.095216,0.031373,0.023240,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
1004,online_dqn,3,1,9,74,2,2,2,0.121855,0.281693,0.281693,0.000000,0.000000,0.000000,0.000000,0,22,35,23,92.500000,87.166700,96.166700,0.574496,0.160450,0.095178,0.031378,0.023245,0.017809,0.000000,0.000000,0.000000,0.000000,0,connect_failed
