seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,applied,skip_reason
1002,online_dqn,3,1,0,28,2,2,1,0.068581,0.276301,0.300549,6.967585,-2.562506,1.947099,-5.020486,0,30,22,28,93.833300,78.500000,128.333000,0.692975,0.367641,0.084124,0.026240,0.024248,0.009255,0.024248,0.285556,0.300549,0.014993,1,
1002,online_dqn,3,1,1,29,2,2,1,0.068581,0.276301,0.315845,7.003748,-2.496665,1.987832,-5.015916,0,30,23,27,93.833300,78.500000,128.333000,0.692975,0.352322,0.087240,0.042043,0.039543,0.024248,0.039543,0.300549,0.315845,0.015295,1,
1002,online_dqn,3,1,2,76,2,2,1,0.068582,0.276301,0.331284,7.038878,-2.429960,2.027683,-5.011195,0,30,24,26,93.833300,78.500000,128.333000,0.692975,0.338229,0.090595,0.058064,0.054983,0.039543,0.054983,0.315845,0.331284,0.015439,1,
1002,online_dqn,3,2,0,53,2,2,1,0.062707,0.277494,0.298135,4.025645,-0.572871,0.906739,-3.118906,0,30,25,25,95.000000,84.000000,57.333300,0.694563,0.292532,0.064082,0.023954,0.020640,0.002819,0.020640,0.280313,0.298135,0.017821,1,
1002,online_dqn,3,2,1,79,2,2,1,0.064059,0.277494,0.316510,4.068173,-0.543049,0.955178,-3.112995,0,30,26,24,95.000000,84.000000,57.333300,0.694563,0.281697,0.066611,0.043090,0.039016,0.020640,0.039016,0.298135,0.316510,0.018376,1,
1002,online_dqn,3,2,2,58,2,2,1,0.064067,0.277494,0.335161,4.123209,-0.504589,1.012611,-3.110598,0,30,27,23,95.000000,84.000000,57.333300,0.694563,0.271637,0.069507,0.062618,0.057667,0.039016,0.057667,0.316510,0.335161,0.018650,1,
1002,online_dqn,3,3,0,34,2,2,1,0.071436,0.322081,0.345707,4.114844,-0.394701,1.049333,-3.065511,0,30,28,22,93.500000,83.500000,55.666700,0.715279,0.236327,0.072828,0.030330,0.023626,0.006686,0.023626,0.328767,0.345707,0.016940,1,
1002,online_dqn,3,3,1,67,2,2,1,0.072393,0.322081,0.361986,4.168279,-0.355200,1.109058,-3.059222,0,30,29,21,93.500000,83.500000,55.666700,0.715279,0.228449,0.076153,0.047761,0.039905,0.023626,0.039905,0.345707,0.361986,0.016279,1,
1002,online_dqn,3,3,2,77,2,2,1,0.072673,0.322081,0.377124,4.221232,-0.315523,1.168796,-3.052436,0,30,30,20,93.500000,83.500000,55.666700,0.715279,0.221080,0.079917,0.064120,0.055043,0.039905,0.055043,0.361986,0.377124,0.015138,1,
1002,online_dqn,3,4,0,21,2,2,1,0.086478,0.355880,0.374107,4.406322,-0.171442,1.280050,-3.126272,0,30,31,19,93.166700,87.333300,56.333300,0.703580,0.192384,0.086680,0.029085,0.018226,0.007800,0.018226,0.363680,0.374107,0.010427,1,
1002,online_dqn,3,4,1,54,2,2,1,0.086607,0.355880,0.382323,4.452412,-0.127003,1.351026,-3.101386,0,30,32,18,93.166700,87.333300,56.333300,0.703580,0.186555,0.091461,0.038421,0.026443,0.018226,0.026443,0.374107,0.382323,0.008216,1,
1002,online_dqn,3,4,2,64,2,2,1,0.086616,0.355880,0.387990,4.498287,-0.082536,1.422029,-3.076257,0,30,33,17,93.166700,87.333300,56.333300,0.703580,0.181068,0.096839,0.045103,0.032109,0.026443,0.032109,0.382323,0.387990,0.005667,1,
