seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
1003,online_dqn,3,1,20,2,2,2,0.000000,109.500000,0.100000,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,0,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.100533,0.018010,0.017243,0.003734,0.018010
1003,online_dqn,3,1,21,0,0,2,3.873147,97.833300,0.484143,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.475229,0.335548,0.096942,0.003734,0.002858,-0.010301,0.002858
1003,online_dqn,3,1,22,2,2,2,0.809856,109.500000,0.101232,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.100474,0.018018,0.017250,0.003734,0.018018
1003,online_dqn,3,1,23,1,1,4,0.000000,81.500000,0.490798,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.002991,0.003734,-0.002052,0.002991
1003,online_dqn,3,1,24,0,0,4,0.000000,97.833300,0.408859,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.003734,0.004481,-0.001333,0.004481
1003,online_dqn,3,1,25,1,1,2,2.827275,81.500000,0.353409,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.348335,0.096942,0.004170,0.003734,-0.009743,0.004170
1003,online_dqn,3,1,26,1,1,2,2.827276,81.500000,0.353409,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.348335,0.096942,0.004170,0.003734,-0.009743,0.004170
1003,online_dqn,3,1,27,2,2,2,0.710371,109.500000,0.088796,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.101511,0.017890,0.017123,0.003734,0.017890
1003,online_dqn,3,1,28,2,2,3,0.000000,109.500000,0.913242,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.022147,1.226994,0.913242,0.008756,0.009224,0.003734,0.009224
1003,online_dqn,3,1,29,2,2,2,0.978129,109.500000,0.122266,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.098722,0.018240,0.017472,0.003734,0.018240
1003,online_dqn,3,1,30,2,2,2,0.654640,109.500000,0.081830,27,0.305426,53,0,1,1,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.102091,0.017819,0.017053,0.003734,0.017819
1003,online_dqn,3,1,31,1,1,2,2.690524,81.500000,0.336315,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.350777,0.096942,0.004147,0.003734,-0.009764,0.004147
1003,online_dqn,3,1,32,2,2,1,1.947637,109.500000,0.649212,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.055016,1.069475,0.635874,0.009312,0.009595,0.003734,0.009595
1003,online_dqn,3,1,33,1,1,1,3.239029,81.500000,1.079676,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.055016,1.120399,0.617452,0.003368,0.003734,-0.002124,0.003368
