seed,cycle_id,target_ue_id,selected_bs_id,q_bs0,q_bs1,q_bs2
10,1,9,1,0.025300,0.066420,0.024651
10,2,2,2,0.104483,-0.047233,0.206013
10,3,9,2,0.041220,0.057734,0.069624
10,4,9,0,0.086741,0.073407,0.055131
10,5,9,0,0.101974,0.072730,0.048977
