seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
2,multi_offload,8,2,0,34,0,0,1,1.032703,0.206614,0.206990,0.000000,0.000000,0.000000,0.000000,1,28,21,31,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.000089,0.000376,-0.004449,0.000376,0.206614,0.206990,0.000376,1.032703,1.214575,0.181873,8,0,8,fixed,8,8,0,0,0.000000,1,
2,multi_offload,8,2,1,31,2,2,1,1.744187,0.206614,0.212051,0.000000,0.000000,0.000000,0.000000,1,27,22,31,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.004760,0.005061,0.000000,0.005061,0.206990,0.212051,0.005061,1.744187,1.214575,-0.529612,8,1,7,fixed,8,8,0,0,0.000000,1,
2,multi_offload,8,2,2,19,0,0,1,1.032703,0.206614,0.212353,0.000000,0.000000,0.000000,0.000000,1,27,23,30,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.000000,0.000302,-0.004773,0.000302,0.212051,0.212353,0.000302,1.032703,1.214575,0.181873,8,2,6,fixed,8,8,0,0,0.000000,1,
2,multi_offload,8,2,3,54,2,2,1,1.744187,0.206614,0.217684,0.000000,0.000000,0.000000,0.000000,1,26,24,30,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.005013,0.005330,0.000000,0.005330,0.212353,0.217684,0.005330,1.744187,1.214575,-0.529612,8,3,5,fixed,8,8,0,0,0.000000,1,
2,multi_offload,8,2,4,67,2,2,1,1.744187,0.206614,0.223289,0.000000,0.000000,0.000000,0.000000,1,26,25,29,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.005271,0.005605,0.000000,0.005605,0.217684,0.223289,0.005605,1.744187,1.214575,-0.529612,8,4,4,fixed,8,8,0,0,0.000000,1,
2,multi_offload,8,2,5,53,0,0,1,1.032703,0.206614,0.223624,0.000000,0.000000,0.000000,0.000000,1,26,26,28,96.833300,82.333300,57.333300,1.032703,1.214575,1.744187,0.000000,0.000335,-0.005286,0.000335,0.223289,0.223624,0.000335,1.032703,1.214575,0.181873,8,5,3,fixed,8,8,0,0,0.000000,1,
