seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
2,multi_greedy,1,1,0,70,2,2,1,0.091114,0.278119,0.300354,0.000000,0.000000,0.000000,0.000000,0,28,21,31,96.166700,80.833300,145.667000,0.639319,0.677971,0.076349,0.021729,0.022235,0.004539,0.022235,0.278119,0.300354,0.022235,0.091114,0.677971,0.586857,1,0,1,fixed,1,1,0,0,0.000000,1,
2,multi_greedy,1,2,0,22,2,2,1,0.045222,0.222737,0.242183,0.000000,0.000000,0.000000,0.000000,0,28,22,30,96.000000,81.833300,57.500000,0.627523,0.638310,0.045033,0.019200,0.019446,0.000137,0.019446,0.222737,0.242183,0.019446,0.045222,0.638310,0.593087,1,0,1,fixed,1,1,0,0,0.000000,1,
2,multi_greedy,1,3,0,79,2,2,0,0.043574,0.225672,0.246442,0.000000,0.000000,0.000000,0.000000,0,28,23,29,96.833300,83.166700,56.000000,0.638823,0.552103,0.042279,0.020770,0.020716,0.000071,0.020770,0.225672,0.246442,0.020770,0.043574,0.638823,0.595249,1,0,1,fixed,1,1,0,0,0.000000,1,
2,multi_greedy,1,4,0,52,2,2,1,0.033330,0.198320,0.219245,0.000000,0.000000,0.000000,0.000000,0,29,23,28,99.000000,83.500000,54.833300,0.586255,0.551972,0.032694,0.020830,0.020925,0.000100,0.020925,0.198320,0.219245,0.020925,0.033330,0.551972,0.518642,1,0,1,fixed,1,1,0,0,0.000000,1,
