seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
6,multi_greedy,1,1,0,77,2,2,1,0.118165,0.559716,0.632256,0.000000,0.000000,0.000000,0.000000,0,29,26,25,100.000000,73.000000,57.833300,0.606367,0.586201,0.117850,0.070797,0.072540,0.035274,0.072540,0.559716,0.632256,0.072540,0.118165,0.586201,0.468036,1,0,1,fixed,1,1,0,0,0.000000,1,
6,multi_greedy,1,2,0,33,2,2,0,0.055196,0.483295,0.575065,0.000000,0.000000,0.000000,0.000000,0,29,27,24,100.167000,76.833300,54.166700,0.606819,0.468210,0.055123,0.091770,0.090980,0.026945,0.091770,0.483295,0.575065,0.091770,0.055196,0.606819,0.551623,1,0,1,fixed,1,1,0,0,0.000000,1,
6,multi_greedy,1,3,0,3,2,2,1,0.045625,0.510026,0.628374,0.000000,0.000000,0.000000,0.000000,0,30,27,23,99.833300,74.333300,52.833300,0.564607,0.477625,0.045490,0.118078,0.118348,0.030061,0.118348,0.510026,0.628374,0.118348,0.045625,0.477625,0.432000,1,0,1,fixed,1,1,0,0,0.000000,1,
6,multi_greedy,1,4,0,6,2,2,0,0.043173,0.544585,0.682816,0.000000,0.000000,0.000000,0.000000,0,30,28,22,100.500000,78.000000,76.000000,0.563918,0.374573,0.295077,0.138230,0.134388,0.131189,0.138230,0.544585,0.682816,0.138230,0.043173,0.563918,0.520745,1,0,1,fixed,1,1,0,0,0.000000,1,
