seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
22,online_dqn,2,14,34,2,2,2,0.048360,0.189307,0.189307,0.000000,1.046561,-0.006246,1.062980,0,same_bs
22,online_dqn,2,15,55,2,2,2,0.048360,0.189307,0.189307,0.000000,1.046561,-0.006246,1.062980,0,same_bs
22,online_dqn,2,16,64,0,0,2,0.395386,0.189307,0.189307,0.521984,0.830125,0.992634,1.352108,1,
22,online_dqn,2,17,65,0,0,2,0.395386,0.189307,0.189307,0.486467,0.860043,0.990648,1.346510,1,
22,online_dqn,2,18,67,0,0,2,0.395386,0.189307,0.189307,0.450952,0.889961,0.988662,1.340913,1,
22,online_dqn,2,19,75,0,0,2,0.395386,0.189307,0.189307,0.415435,0.919879,0.986676,1.335314,1,
22,online_dqn,2,20,77,0,0,2,0.395386,0.189307,0.189307,0.379920,0.949797,0.984689,1.329717,1,
22,online_dqn,2,21,50,0,0,1,0.395386,0.189307,0.189307,0.002989,0.979715,0.982703,1.324118,1,
22,online_dqn,2,22,48,0,0,2,0.395386,0.189307,0.189307,0.322878,0.994957,0.990111,1.317834,1,
22,online_dqn,2,23,7,0,0,2,0.395386,0.189307,0.189307,0.323043,0.985801,1.016456,1.308844,1,
22,online_dqn,2,24,45,0,0,2,0.395386,0.189307,0.189307,0.323209,0.976645,1.042801,1.299854,1,
22,online_dqn,2,25,11,0,0,2,0.395386,0.189307,0.189307,0.323373,0.967490,1.069145,1.290863,1,
22,online_dqn,2,26,20,0,0,2,0.395386,0.189307,0.189307,0.323539,0.958334,1.095490,1.281873,1,
22,online_dqn,3,0,72,2,2,0,0.054373,0.261558,0.261558,0.477254,1.757344,-0.346634,1.280091,1,
22,online_dqn,3,1,58,2,2,0,0.054510,0.261558,0.261558,0.378498,1.676022,-0.325386,1.297524,1,
22,online_dqn,3,2,41,2,2,0,0.055056,0.261558,0.261558,0.273697,1.586541,-0.295885,1.312844,1,
22,online_dqn,3,3,35,2,2,0,0.055328,0.261558,0.261558,0.169367,1.497237,-0.266229,1.327870,1,
22,online_dqn,3,4,30,2,2,2,0.055463,0.261558,0.261558,0.000000,1.408020,-0.236495,1.342750,0,same_bs
22,online_dqn,3,5,22,2,2,0,0.055466,0.261558,0.261558,0.065265,1.408018,-0.236497,1.342753,1,
22,online_dqn,3,6,40,2,2,2,0.055734,0.261558,0.261558,0.000000,1.311495,-0.209745,1.362418,0,same_bs
22,online_dqn,3,7,32,2,2,2,0.055734,0.261558,0.261558,0.000000,1.311495,-0.209745,1.362418,0,same_bs
22,online_dqn,3,8,27,2,2,2,0.055736,0.261558,0.261558,0.000000,1.311493,-0.209746,1.362422,0,same_bs
22,online_dqn,3,9,34,2,2,2,0.055738,0.261558,0.261558,0.000000,1.311492,-0.209747,1.362423,0,same_bs
22,online_dqn,3,10,55,2,2,2,0.055742,0.261558,0.261558,0.000000,1.311488,-0.209750,1.362428,0,same_bs
22,online_dqn,3,11,1,2,2,2,0.055873,0.261558,0.261558,0.000000,1.311389,-0.209826,1.362573,0,same_bs
22,online_dqn,3,12,24,0,0,2,0.387098,0.261558,0.261558,0.386049,0.950818,1.178049,1.336867,1,
22,online_dqn,3,13,43,0,0,1,0.387098,0.261558,0.261558,0.242668,0.955925,1.198593,1.328774,1,
22,online_dqn,3,14,50,1,1,2,0.571429,0.261558,0.261558,0.265733,0.403252,0.834677,1.100410,1,
22,online_dqn,3,15,14,1,1,2,0.571429,0.261558,0.261558,0.272030,0.451399,0.821539,1.093569,1,
22,online_dqn,3,16,13,1,1,2,0.571429,0.261558,0.261558,0.298063,0.457549,0.816718,1.114781,1,
22,online_dqn,3,17,38,1,1,2,0.571429,0.261558,0.261558,0.320239,0.454597,0.817864,1.138103,1,
22,online_dqn,3,18,61,1,1,2,0.571429,0.261558,0.261558,0.318019,0.450806,0.837111,1.155131,1,
22,online_dqn,3,19,68,1,1,2,0.571429,0.261558,0.261558,0.305103,0.443313,0.861277,1.166380,1,
22,online_dqn,3,20,42,1,1,2,0.571429,0.261558,0.261558,0.297835,0.453226,0.876991,1.174827,1,
22,online_dqn,3,21,49,0,0,1,0.574036,0.261558,0.261558,0.014312,1.405377,1.419688,1.167011,1,
22,online_dqn,4,0,1,2,2,0,0.055734,0.353198,0.353198,1.867544,3.137104,-0.687415,1.269560,1,
