seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,applied,skip_reason
1002,online_dqn,1,20,8,2,2,2,0.312093,0.272585,0.272585,0.000000,-3.016024,-8.045027,-1.231517,0,30,22,28,93.833300,78.500000,128.167000,0.426288,0.509554,0.312093,0.016987,0.016892,0.010164,0.000000,0,same_bs
1002,online_dqn,1,21,63,1,1,1,0.362567,0.272585,0.272585,0.000000,-2.842689,0.388393,-9.025471,0,30,22,28,93.833300,78.500000,128.167000,0.693011,0.387618,0.078762,0.011665,0.010164,-0.004582,0.000000,0,same_bs
1002,online_dqn,1,22,47,0,0,1,0.426288,0.272585,0.282658,0.338997,-2.604392,-2.265395,-6.568400,0,30,22,28,93.833300,78.500000,128.167000,0.426288,0.509554,0.312093,0.010164,0.010073,0.003655,0.010073,1,
1002,online_dqn,2,0,29,2,2,2,0.057238,0.233991,0.233991,0.000000,-5.469407,-5.480894,-3.081760,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058333,0.020933,0.019796,0.003409,0.000000,0,same_bs
1002,online_dqn,2,1,34,2,2,2,0.058188,0.233991,0.233991,0.000000,-5.468477,-5.480628,-3.082339,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058260,0.020950,0.019812,0.003409,0.000000,0,same_bs
1002,online_dqn,2,2,54,2,2,2,0.058190,0.233991,0.233991,0.000000,-5.468475,-5.480627,-3.082341,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058260,0.020950,0.019812,0.003409,0.000000,0,same_bs
1002,online_dqn,2,3,58,2,2,2,0.058196,0.233991,0.233991,0.000000,-5.468469,-5.480626,-3.082345,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058259,0.020950,0.019812,0.003409,0.000000,0,same_bs
1002,online_dqn,2,4,53,2,2,2,0.058196,0.233991,0.233991,0.000000,-5.468469,-5.480626,-3.082345,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058259,0.020950,0.019812,0.003409,0.000000,0,same_bs
1002,online_dqn,2,5,67,2,2,2,0.058199,0.233991,0.233991,0.000000,-5.468466,-5.480625,-3.082347,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058259,0.020950,0.019812,0.003409,0.000000,0,same_bs
1002,online_dqn,2,6,28,2,2,2,0.058334,0.233991,0.233991,0.000000,-5.468334,-5.480588,-3.082429,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058249,0.020952,0.019815,0.003409,0.000000,0,same_bs
