seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1007,centralized_dqn,80,1,13,18,0,0,2,0.400668,0.407261,0.500002,0.000000,0.000000,0.000000,0.000000,-1,32,23,25,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000000,-0.000074,0.004484,0.004484,0.495517,0.500002,0.004484,0.400668,0.633245,0.232577,80,13,67,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,14,31,1,1,2,1.160541,0.407261,0.503549,0.000000,0.000000,0.000000,0.000000,-1,31,23,26,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.000717,0.000000,0.003547,0.003547,0.500002,0.503549,0.003547,1.160541,1.583113,0.422571,80,14,66,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,15,48,1,1,2,1.160541,0.407261,0.507148,0.000000,0.000000,0.000000,0.000000,-1,31,22,27,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.000727,0.000000,0.003598,0.003598,0.503549,0.507148,0.003598,1.160541,1.583113,0.422571,80,15,65,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,16,14,1,1,2,1.033561,0.407261,0.507321,0.000000,0.000000,0.000000,0.000000,-1,31,21,28,99.833300,86.166700,63.166700,1.168734,1.542508,0.684638,0.000411,0.000000,0.000174,0.000174,0.507148,0.507321,0.000174,1.033561,0.684638,-0.348923,80,16,64,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,17,7,2,2,0,1.034704,0.407261,0.507321,0.000000,0.000000,0.000000,0.000000,-1,31,20,29,99.833300,86.166700,63.166700,1.168734,1.542086,0.684638,0.000237,-0.000174,0.000000,0.000000,0.507321,0.507321,0.000000,1.034704,1.168734,0.134030,80,17,63,fixed,80,1,1,0,0.000000,0,already_switched_in_cycle
1007,centralized_dqn,80,1,18,43,0,0,2,0.400668,0.407261,0.511858,0.000000,0.000000,0.000000,0.000000,-1,31,20,29,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000000,0.000021,0.004537,0.004537,0.507321,0.511858,0.004537,0.400668,0.633245,0.232577,80,17,63,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,19,41,2,2,0,0.388104,0.407261,0.517765,0.000000,0.000000,0.000000,0.000000,-1,30,20,30,99.833300,86.166700,63.166700,0.469100,0.311354,0.219906,0.005907,0.001208,0.000000,0.005907,0.511858,0.517765,0.005907,0.388104,0.469100,0.080996,80,18,62,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,20,62,1,1,2,1.032186,0.407261,0.517909,0.000000,0.000000,0.000000,0.000000,-1,31,20,29,99.833300,86.166700,63.166700,1.168734,1.620166,0.661817,-0.000010,0.000000,0.000144,0.000144,0.517765,0.517909,0.000144,1.032186,0.661817,-0.370369,80,19,61,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,21,23,2,2,0,0.388108,0.407261,0.523139,0.000000,0.000000,0.000000,0.000000,-1,31,19,30,99.833300,86.166700,63.166700,0.454441,0.326922,0.219906,0.005230,0.001516,0.000000,0.005230,0.517909,0.523139,0.005230,0.388108,0.454441,0.066333,80,20,60,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,22,65,0,0,2,1.168320,0.407261,0.523787,0.000000,0.000000,0.000000,0.000000,-1,32,19,29,99.833300,86.166700,63.166700,1.168838,1.616111,0.661817,0.000000,0.000149,0.000648,0.000648,0.523139,0.523787,0.000648,1.168320,0.661817,-0.506503,80,21,59,fixed,80,1,1,0,0.000000,1,
